insurance_validity,fuel_type,kms_driven,ownsership,transmission,price(in lakhs)
0,1,68000,1,0,14.25
0,0,52565,1,0,4.17
0,1,72000,1,1,29.55
0,1,70000,2,1,40.0
0,0,73074,1,0,4.93
1,1,45000,1,0,13.75
0,0,90995,1,0,3.35
1,0,30000,1,1,3.35
1,0,42346,2,0,3.01
0,0,31120,1,1,11.5
1,1,100000,1,1,3.95
1,0,33500,1,1,7.5
0,2,64000,1,0,4.25
0,1,70000,2,1,40.0
0,0,49341,1,0,8.42
0,1,55000,1,1,18.95
0,1,55861,1,0,10.27
1,0,76000,2,1,49.5
0,1,68000,1,0,14.25
0,0,52565,1,0,4.17
0,1,72000,1,1,29.55
0,1,70000,2,1,40.0
0,0,73074,1,0,4.93
1,1,45000,1,0,13.75
0,0,90995,1,0,3.35
1,0,30000,1,1,3.35
1,0,42346,2,0,3.01
0,0,31120,1,1,11.5
1,1,100000,1,1,3.95
1,0,33500,1,1,7.5
0,2,64000,1,0,4.25
0,0,4000,1,1,1.25
0,0,48936,2,0,2.34
0,0,23000,2,1,19.5
0,0,61814,1,0,5.27
2,1,62000,2,1,47.98
1,0,40000,1,1,10.0
0,0,30200,1,0,9.25
1,0,34123,1,1,30.5
0,0,16000,1,1,83.0
0,1,28645,1,0,7.71
0,1,48933,2,1,15.75
0,0,60970,1,1,9.4
1,0,50000,1,1,7.75
1,1,56000,1,0,27.5
0,0,40427,1,0,5.36
1,0,54213,1,0,7.9
1,0,85000,2,0,2.75
0,1,91000,2,0,12.0
1,0,47000,1,0,3.85
0,0,54630,1,1,6.86
0,1,72222,2,1,34.9
0,0,41116,1,1,10.39
2,0,4000,1,1,1.1
0,0,20000,1,1,69.0
0,0,29502,1,0,7.56
0,1,132501,1,1,12.21
0,1,35000,1,1,23.9
0,1,56458,2,0,5.71
0,0,50000,1,1,7.25
0,0,61657,1,0,5.93
1,0,50000,1,1,6.5
1,0,67000,1,0,6.25
0,0,104948,1,0,4.61
0,0,20000,1,1,52.0
1,0,10000,1,0,15.21
0,1,154000,2,1,17.5
0,0,46000,1,1,20.5
0,0,90000,1,0,5.65
1,0,47000,1,0,3.85
0,0,54630,1,1,6.86
0,1,72222,2,1,34.9
0,0,41116,1,1,10.39
2,0,4000,1,1,1.1
0,0,20000,1,1,69.0
0,0,29502,1,0,7.56
0,1,132501,1,1,12.21
0,1,35000,1,1,23.9
0,1,56458,2,0,5.71
0,0,50000,1,1,7.25
0,0,61657,1,0,5.93
1,0,50000,1,1,6.5
1,0,67000,1,0,6.25
0,0,104948,1,0,4.61
0,0,20000,1,1,52.0
1,0,10000,1,0,15.21
0,1,154000,2,1,17.5
0,0,46000,1,1,20.5
0,0,90000,1,0,5.65
0,1,39000,2,1,22.5
0,0,64727,1,1,9.87
1,1,65000,1,0,6.5
1,0,44636,2,0,2.63
0,1,100000,2,1,15.5
2,1,23616,1,1,43.9
0,0,107682,1,0,3.39
1,0,9500,1,1,56.5
0,0,47500,1,1,43.0
0,0,101914,2,0,2.59
0,0,620,1,0,6.65
0,0,45507,1,0,6.49
0,1,58000,1,1,29.75
0,1,7000,1,1,1.55
0,0,74095,2,1,5.37
0,0,40000,1,1,1.09
0,0,77684,2,0,1.54
1,0,22900,1,1,54.8
0,1,19000,2,1,1.15
0,0,74846,2,0,3.1
0,0,4500,1,0,7.55
0,0,97722,3,0,2.27
1,0,9000,1,1,70.0
1,0,19000,1,1,78.99
0,0,79683,1,1,6.35
0,0,26000,1,1,7.95
1,1,70000,2,1,15.5
0,0,85540,1,1,13.86
1,0,10000,1,0,11.7
0,0,50170,1,0,6.87
0,1,44000,1,1,98.5
0,1,4000,1,1,56.75
0,0,37163,2,0,3.18
1,0,21003,1,1,18.75
0,1,49000,1,1,39.0
0,0,89057,2,1,2.26
0,0,12000,1,1,44.5
0,0,11000,1,1,9.99
0,1,19000,2,1,1.15
0,0,74846,2,0,3.1
0,0,4500,1,0,7.55
0,0,97722,3,0,2.27
1,0,9000,1,1,70.0
1,0,19000,1,1,78.99
0,0,79683,1,1,6.35
0,0,26000,1,1,7.95
1,1,70000,2,1,15.5
0,0,85540,1,1,13.86
1,0,10000,1,0,11.7
0,0,50170,1,0,6.87
0,1,44000,1,1,98.5
0,1,4000,1,1,56.75
0,0,37163,2,0,3.18
1,0,21003,1,1,18.75
0,1,49000,1,1,39.0
0,0,89057,2,1,2.26
0,0,12000,1,1,44.5
0,0,11000,1,1,9.99
0,0,72692,1,0,6.85
0,0,47463,2,1,6.33
2,0,7651,1,1,61.0
0,0,69348,1,0,6.19
0,1,40000,1,1,32.5
0,0,18000,1,1,80.0
1,2,40000,2,0,2.1
0,1,84000,1,1,46.21
0,0,62411,1,0,2.9
1,0,22711,1,0,11.35
0,0,90576,1,0,3.37
0,1,44000,1,1,44.0
0,0,49000,1,0,4.25
0,0,40678,1,0,9.24
0,0,32000,1,0,2.2
0,0,27500,1,0,10.5
0,0,92539,1,0,5.28
0,0,21000,1,1,48.0
0,0,6000,1,0,6.95
0,0,72692,1,0,6.85
0,0,47463,2,1,6.33
2,0,7651,1,1,61.0
0,0,69348,1,0,6.19
0,1,40000,1,1,32.5
0,0,18000,1,1,80.0
1,2,40000,2,0,2.1
0,1,84000,1,1,46.21
0,0,62411,1,0,2.9
1,0,22711,1,0,11.35
